chapter_number,total,NOUN_count,NOUN_prop,ADJ_count,ADJ_prop,VERB_count,VERB_prop,ADV_count,ADV_prop,PROPN_count,PROPN_prop,CONJ_count,CONJ_prop,PRON_count,PRON_prop,PUNCT_count,PUNCT_prop
90,1256,197,0.1568,80,0.0637,110,0.0876,57,0.0454,78,0.0621,64,0.051,99,0.0788,185,0.1473
91,3136,459,0.1464,163,0.052,370,0.118,187,0.0596,136,0.0434,168,0.0536,331,0.1055,526,0.1677
92,1142,200,0.1751,83,0.0727,98,0.0858,55,0.0482,53,0.0464,74,0.0648,67,0.0587,156,0.1366
93,1965,315,0.1603,164,0.0835,186,0.0947,123,0.0626,86,0.0438,126,0.0641,141,0.0718,307,0.1562
94,1516,286,0.1887,110,0.0726,147,0.097,87,0.0574,25,0.0165,80,0.0528,148,0.0976,217,0.1431
95,589,101,0.1715,43,0.073,54,0.0917,30,0.0509,20,0.034,23,0.039,61,0.1036,82,0.1392
96,2154,413,0.1917,157,0.0729,205,0.0952,105,0.0487,49,0.0227,117,0.0543,176,0.0817,302,0.1402
97,291,64,0.2199,20,0.0687,23,0.079,13,0.0447,6,0.0206,18,0.0619,28,0.0962,41,0.1409
98,1222,224,0.1833,91,0.0745,125,0.1023,78,0.0638,20,0.0164,92,0.0753,81,0.0663,184,0.1506
99,3115,458,0.147,157,0.0504,347,0.1114,179,0.0575,158,0.0507,202,0.0648,334,0.1072,585,0.1878
100,3426,493,0.1439,179,0.0522,378,0.1103,198,0.0578,149,0.0435,175,0.0511,370,0.108,658,0.1921
101,2116,329,0.1555,190,0.0898,164,0.0775,105,0.0496,117,0.0553,146,0.069,180,0.0851,329,0.1555
102,1879,346,0.1841,136,0.0724,191,0.1016,78,0.0415,80,0.0426,104,0.0553,168,0.0894,299,0.1591
103,1092,187,0.1712,99,0.0907,97,0.0888,66,0.0604,21,0.0192,54,0.0495,84,0.0769,151,0.1383
104,1667,274,0.1644,124,0.0744,168,0.1008,60,0.036,100,0.06,96,0.0576,133,0.0798,218,0.1308
105,1831,317,0.1731,134,0.0732,141,0.077,102,0.0557,86,0.047,142,0.0776,111,0.0606,243,0.1327
106,1109,168,0.1515,87,0.0784,98,0.0884,72,0.0649,40,0.0361,68,0.0613,91,0.0821,164,0.1479
107,1270,237,0.1866,110,0.0866,116,0.0913,82,0.0646,17,0.0134,88,0.0693,110,0.0866,195,0.1535
108,2085,308,0.1477,115,0.0552,237,0.1137,150,0.0719,100,0.048,92,0.0441,219,0.105,420,0.2014
109,1153,170,0.1474,78,0.0676,125,0.1084,55,0.0477,69,0.0598,65,0.0564,93,0.0807,214,0.1856
110,2695,431,0.1599,180,0.0668,306,0.1135,148,0.0549,80,0.0297,187,0.0694,277,0.1028,414,0.1536
111,506,98,0.1937,48,0.0949,56,0.1107,19,0.0375,25,0.0494,25,0.0494,33,0.0652,75,0.1482
112,1142,211,0.1848,92,0.0806,120,0.1051,61,0.0534,35,0.0306,60,0.0525,80,0.0701,184,0.1611
113,1594,256,0.1606,89,0.0558,160,0.1004,85,0.0533,98,0.0615,84,0.0527,135,0.0847,341,0.2139
114,783,151,0.1928,76,0.0971,75,0.0958,44,0.0562,17,0.0217,52,0.0664,56,0.0715,129,0.1648
115,1087,195,0.1794,76,0.0699,123,0.1132,60,0.0552,36,0.0331,59,0.0543,78,0.0718,173,0.1592
116,636,114,0.1792,51,0.0802,69,0.1085,55,0.0865,22,0.0346,41,0.0645,39,0.0613,112,0.1761
117,587,96,0.1635,31,0.0528,64,0.109,30,0.0511,20,0.0341,35,0.0596,49,0.0835,109,0.1857
118,1090,208,0.1908,71,0.0651,114,0.1046,51,0.0468,47,0.0431,66,0.0606,91,0.0835,176,0.1615
119,3165,529,0.1671,189,0.0597,351,0.1109,153,0.0483,147,0.0464,174,0.055,292,0.0923,579,0.1829
120,257,35,0.1362,13,0.0506,30,0.1167,6,0.0233,17,0.0661,10,0.0389,28,0.1089,66,0.2568
121,802,115,0.1434,36,0.0449,94,0.1172,67,0.0835,26,0.0324,45,0.0561,86,0.1072,149,0.1858
122,79,14,0.1772,4,0.0506,7,0.0886,3,0.038,2,0.0253,1,0.0127,5,0.0633,24,0.3038
123,1483,244,0.1645,98,0.0661,160,0.1079,84,0.0566,60,0.0405,77,0.0519,145,0.0978,229,0.1544
124,1456,254,0.1745,100,0.0687,158,0.1085,92,0.0632,50,0.0343,76,0.0522,109,0.0749,226,0.1552
125,1479,214,0.1447,80,0.0541,173,0.117,89,0.0602,99,0.0669,68,0.046,118,0.0798,329,0.2224
126,1712,288,0.1682,95,0.0555,195,0.1139,85,0.0496,40,0.0234,103,0.0602,173,0.1011,282,0.1647
127,984,159,0.1616,60,0.061,96,0.0976,66,0.0671,38,0.0386,39,0.0396,93,0.0945,238,0.2419
128,1724,256,0.1485,99,0.0574,204,0.1183,106,0.0615,60,0.0348,100,0.058,177,0.1027,281,0.163
129,763,104,0.1363,35,0.0459,89,0.1166,51,0.0668,47,0.0616,45,0.059,93,0.1219,166,0.2176
130,1995,335,0.1679,134,0.0672,217,0.1088,148,0.0742,60,0.0301,136,0.0682,180,0.0902,278,0.1393
131,542,87,0.1605,33,0.0609,67,0.1236,31,0.0572,26,0.048,29,0.0535,44,0.0812,106,0.1956
132,2017,342,0.1696,143,0.0709,208,0.1031,98,0.0486,79,0.0392,130,0.0645,177,0.0878,374,0.1854
133,4337,710,0.1637,284,0.0655,503,0.116,303,0.0699,164,0.0378,222,0.0512,334,0.077,716,0.1651
134,4030,694,0.1722,237,0.0588,436,0.1082,239,0.0593,143,0.0355,211,0.0524,337,0.0836,673,0.167
135,5921,978,0.1652,387,0.0654,680,0.1148,367,0.062,201,0.0339,343,0.0579,555,0.0937,1041,0.1758
