chapter_number,total,NOUN_count,NOUN_prop,ADJ_count,ADJ_prop,VERB_count,VERB_prop,ADV_count,ADV_prop,PROPN_count,PROPN_prop,CONJ_count,CONJ_prop,PRON_count,PRON_prop,PUNCT_count,PUNCT_prop
22,2035,319,0.15675675675675677,133,0.06535626535626536,204,0.10024570024570024,127,0.062407862407862405,117,0.05749385749385749,101,0.04963144963144963,147,0.07223587223587223,364,0.17886977886977887
23,456,87,0.19078947368421054,31,0.06798245614035088,48,0.10526315789473684,24,0.05263157894736842,18,0.039473684210526314,18,0.039473684210526314,39,0.08552631578947369,77,0.16885964912280702
24,1949,341,0.17496151872755258,151,0.07747562852744998,167,0.08568496664956388,99,0.05079527963057978,87,0.044638276038994354,113,0.05797845048742945,167,0.08568496664956388,264,0.13545407901487944
25,342,66,0.19298245614035087,17,0.049707602339181284,30,0.08771929824561403,26,0.07602339181286549,6,0.017543859649122806,23,0.06725146198830409,36,0.10526315789473684,53,0.15497076023391812
26,1448,240,0.16574585635359115,126,0.08701657458563536,129,0.08908839779005524,85,0.05870165745856354,39,0.026933701657458564,89,0.06146408839779006,138,0.09530386740331492,212,0.1464088397790055
27,1969,339,0.17216861350939563,153,0.07770441848654139,173,0.08786185881157949,110,0.055865921787709494,91,0.04621635347892331,95,0.04824784154393093,172,0.08735398679532758,261,0.1325545962417471
28,1645,253,0.15379939209726443,134,0.08145896656534954,163,0.09908814589665653,124,0.07537993920972644,57,0.034650455927051675,103,0.06261398176291794,164,0.09969604863221884,223,0.13556231003039515
29,1511,224,0.14824619457313037,95,0.0628722700198544,174,0.11515552614162806,93,0.06154864328259431,47,0.031105228325612178,90,0.05956320317670417,156,0.10324288550628723,260,0.17207147584381205
30,348,64,0.1839080459770115,20,0.05747126436781609,39,0.11206896551724138,14,0.040229885057471264,12,0.034482758620689655,17,0.04885057471264368,32,0.09195402298850575,54,0.15517241379310345
31,1164,131,0.11254295532646048,70,0.06013745704467354,141,0.1211340206185567,47,0.040378006872852236,55,0.04725085910652921,45,0.03865979381443299,164,0.140893470790378,273,0.2345360824742268
32,6253,971,0.15528546297777068,477,0.07628338397569166,513,0.08204062050215896,335,0.05357428434351511,459,0.07340476571245802,308,0.04925635694866464,538,0.08603870142331681,985,0.15752438829361906
33,1137,206,0.18117854001759015,103,0.09058927000879508,88,0.0773966578715919,68,0.05980650835532102,41,0.03605980650835532,78,0.06860158311345646,80,0.07036059806508356,149,0.1310466138962181
34,2640,441,0.16704545454545455,194,0.07348484848484849,252,0.09545454545454546,132,0.05,111,0.042045454545454546,160,0.06060606060606061,236,0.0893939393939394,387,0.14659090909090908
35,3105,575,0.18518518518518517,244,0.0785829307568438,274,0.08824476650563608,170,0.05475040257648953,100,0.0322061191626409,170,0.05475040257648953,259,0.08341384863123993,460,0.14814814814814814
36,3600,564,0.15666666666666668,218,0.06055555555555556,422,0.11722222222222223,193,0.05361111111111111,180,0.05,174,0.04833333333333333,369,0.1025,748,0.20777777777777778
37,670,107,0.15970149253731344,38,0.056716417910447764,92,0.1373134328358209,32,0.04776119402985075,21,0.03134328358208955,33,0.049253731343283584,80,0.11940298507462686,138,0.20597014925373133
38,492,79,0.16056910569105692,30,0.06097560975609756,61,0.12398373983739837,24,0.04878048780487805,14,0.028455284552845527,18,0.036585365853658534,59,0.11991869918699187,91,0.18495934959349594
39,365,41,0.11232876712328767,23,0.06301369863013699,44,0.12054794520547946,15,0.0410958904109589,27,0.07397260273972603,17,0.04657534246575343,52,0.14246575342465753,75,0.2054794520547945
40,2213,380,0.17171260732037957,114,0.05151378219611387,247,0.11161319475824673,109,0.04925440578400361,160,0.07230004518752824,71,0.032083145051965654,217,0.09805693628558518,550,0.24853140533212834
41,4378,719,0.16423024211968937,389,0.08885335769757881,407,0.09296482412060302,287,0.06555504796710827,156,0.03563270899954317,277,0.06327089995431703,354,0.0808588396528095,568,0.1297396071265418
42,4201,732,0.17424422756486552,404,0.09616757914782195,372,0.08855034515591526,205,0.048797905260652225,154,0.03665793858605094,270,0.06427041180671268,363,0.0864079980956915,529,0.12592239942870745
43,418,70,0.1674641148325359,14,0.03349282296650718,43,0.10287081339712918,17,0.04066985645933014,22,0.05263157894736842,7,0.01674641148325359,40,0.09569377990430622,99,0.23684210526315788
44,2379,427,0.1794871794871795,168,0.07061790668348046,227,0.09541824295922656,112,0.047078604455653636,81,0.034047919293820936,155,0.06515342580916351,205,0.08617065994115175,309,0.12988650693568726
45,4099,666,0.16247865333008052,294,0.071724810929495,376,0.09172969016833374,236,0.05757501829714565,163,0.03976579653574042,232,0.05659917052939741,348,0.08489875579409611,514,0.12539643815564772
46,1127,184,0.16326530612244897,101,0.08961845607808341,112,0.09937888198757763,90,0.07985803016858918,42,0.037267080745341616,79,0.07009760425909495,99,0.0878438331854481,118,0.10470275066548358
47,1100,189,0.17181818181818181,65,0.05909090909090909,121,0.11,83,0.07545454545454545,37,0.03363636363636364,67,0.060909090909090906,82,0.07454545454545454,156,0.14181818181818182
48,4826,827,0.17136344799005387,311,0.06444260256941567,553,0.11458765022793203,306,0.06340654786572732,162,0.033568172399502695,232,0.04807293825113966,438,0.09075839204309988,788,0.1632822213012847
49,994,166,0.16700201207243462,77,0.07746478873239436,102,0.10261569416498995,56,0.056338028169014086,30,0.030181086519114688,55,0.05533199195171026,109,0.1096579476861167,146,0.14688128772635814
50,1170,204,0.17435897435897435,84,0.07179487179487179,118,0.10085470085470086,68,0.05811965811965812,33,0.028205128205128206,75,0.0641025641025641,96,0.08205128205128205,135,0.11538461538461539
51,1780,315,0.17696629213483145,119,0.06685393258426967,201,0.11292134831460675,110,0.06179775280898876,52,0.029213483146067417,132,0.07415730337078652,130,0.07303370786516854,247,0.13876404494382022
52,839,154,0.1835518474374255,57,0.06793802145411204,87,0.10369487485101311,52,0.06197854588796186,27,0.03218116805721097,47,0.05601907032181168,73,0.08700834326579261,111,0.13230035756853398
53,1944,322,0.16563786008230452,148,0.07613168724279835,184,0.09465020576131687,141,0.07253086419753087,57,0.029320987654320986,123,0.06327160493827161,144,0.07407407407407407,274,0.14094650205761317
54,9745,1492,0.15310415597742433,560,0.057465366854797334,1072,0.11000513083632632,525,0.053873781426372495,354,0.036326321190354026,545,0.055926115956900974,986,0.10118009235505387,1646,0.1689071318624936
55,2211,369,0.16689280868385345,179,0.08095884215287201,192,0.08683853459972862,111,0.050203527815468114,120,0.054274084124830396,108,0.048846675712347354,170,0.07688828584350972,285,0.12890094979647218
56,1522,297,0.19513797634691196,128,0.08409986859395532,118,0.07752956636005257,65,0.042706964520367936,74,0.04862023653088042,79,0.0519053876478318,89,0.05847568988173456,189,0.12417871222076216
57,1140,218,0.1912280701754386,98,0.08596491228070176,95,0.08333333333333333,46,0.04035087719298246,55,0.04824561403508772,68,0.05964912280701754,88,0.07719298245614035,154,0.13508771929824562
58,1149,218,0.18973020017406442,109,0.09486510008703221,106,0.09225413402959094,65,0.05657093124456049,25,0.02175805047867711,78,0.06788511749347259,86,0.07484769364664925,133,0.11575282854656223
59,1086,175,0.16114180478821363,78,0.0718232044198895,122,0.11233885819521179,78,0.0718232044198895,43,0.03959484346224678,62,0.0570902394106814,93,0.0856353591160221,149,0.13720073664825047
60,1715,322,0.18775510204081633,132,0.07696793002915452,157,0.09154518950437318,105,0.061224489795918366,15,0.008746355685131196,110,0.0641399416909621,108,0.0629737609329446,216,0.1259475218658892
61,2373,412,0.17361989043404974,140,0.058997050147492625,271,0.11420143278550358,146,0.06152549515381374,86,0.036241045090602615,118,0.049726085124315214,196,0.08259587020648967,367,0.15465655288664137
62,653,120,0.18376722817764166,45,0.06891271056661562,64,0.09800918836140889,32,0.04900459418070444,7,0.010719754977029096,43,0.06584992343032159,63,0.09647779479326186,76,0.11638591117917305
63,559,90,0.16100178890876565,51,0.09123434704830054,54,0.09660107334525939,39,0.06976744186046512,3,0.005366726296958855,28,0.05008944543828265,38,0.06797853309481217,81,0.1449016100178891
64,3794,577,0.15208223510806537,209,0.05508697944122298,448,0.11808118081180811,228,0.060094886663152346,154,0.04059040590405904,219,0.057722720084343704,348,0.09172377438060095,721,0.1900369003690037
65,1156,199,0.17214532871972318,94,0.08131487889273356,103,0.08910034602076125,67,0.05795847750865052,40,0.03460207612456748,65,0.056228373702422146,105,0.09083044982698962,148,0.12802768166089964
66,748,122,0.16310160427807488,57,0.07620320855614973,70,0.09358288770053476,48,0.06417112299465241,26,0.034759358288770054,42,0.05614973262032086,49,0.06550802139037433,105,0.14037433155080214
67,851,168,0.19741480611045828,70,0.08225616921269095,94,0.11045828437132785,55,0.06462984723854288,13,0.01527614571092832,52,0.06110458284371328,46,0.05405405405405406,105,0.12338425381903642
68,1408,248,0.17613636363636365,137,0.09730113636363637,107,0.07599431818181818,65,0.04616477272727273,30,0.02130681818181818,85,0.060369318181818184,116,0.08238636363636363,193,0.13707386363636365
69,516,106,0.2054263565891473,38,0.07364341085271318,53,0.10271317829457365,32,0.06201550387596899,15,0.029069767441860465,32,0.06201550387596899,45,0.0872093023255814,70,0.13565891472868216
70,1045,190,0.18181818181818182,82,0.0784688995215311,110,0.10526315789473684,59,0.05645933014354067,35,0.03349282296650718,69,0.0660287081339713,75,0.07177033492822966,152,0.14545454545454545
71,2736,434,0.15862573099415206,158,0.0577485380116959,318,0.1162280701754386,141,0.051535087719298246,139,0.05080409356725146,152,0.05555555555555555,228,0.08333333333333333,428,0.1564327485380117
72,1995,303,0.1518796992481203,115,0.05764411027568922,219,0.10977443609022557,139,0.06967418546365915,66,0.03308270676691729,124,0.06215538847117794,224,0.11228070175438597,318,0.1593984962406015
73,2674,354,0.1323859386686612,115,0.043006731488406884,347,0.12976813762154077,163,0.06095736724008975,94,0.035153328347045626,186,0.06955871353777113,276,0.10321615557217652,435,0.16267763649962602
74,1932,321,0.16614906832298137,139,0.07194616977225674,159,0.08229813664596274,126,0.06521739130434782,33,0.017080745341614908,119,0.06159420289855073,181,0.09368530020703934,262,0.13561076604554864
75,1478,259,0.17523680649526388,119,0.08051420838971583,129,0.08728010825439783,79,0.05345060893098782,53,0.03585926928281461,66,0.044654939106901215,129,0.08728010825439783,216,0.14614343707713126
76,1006,165,0.16401590457256462,85,0.08449304174950298,83,0.08250497017892644,70,0.06958250497017893,27,0.0268389662027833,62,0.061630218687872766,105,0.10437375745526839,125,0.1242544731610338
77,742,127,0.1711590296495957,82,0.1105121293800539,65,0.0876010781671159,44,0.05929919137466307,25,0.03369272237196765,31,0.04177897574123989,46,0.06199460916442048,87,0.11725067385444744
78,1962,296,0.15086646279306828,144,0.07339449541284404,220,0.11213047910295616,144,0.07339449541284404,62,0.03160040774719674,127,0.06472986748216106,129,0.06574923547400612,283,0.14424057084607544
79,1101,191,0.1734786557674841,91,0.08265213442325159,91,0.08265213442325159,61,0.055404178019981834,58,0.05267938237965486,63,0.05722070844686648,92,0.08356039963669391,148,0.1344232515894641
80,1035,198,0.19130434782608696,90,0.08695652173913043,87,0.08405797101449275,47,0.04541062801932367,19,0.018357487922705314,46,0.044444444444444446,95,0.09178743961352658,117,0.11304347826086956
81,5253,879,0.16733295259851513,349,0.06643822577574719,559,0.10641538168665525,311,0.05920426422996383,177,0.0336950314106225,276,0.052541404911479156,450,0.08566533409480297,800,0.15229392727964972
